"Ovld2","Ovld1","V1","V2",
,,0.005791,0.0029684,
,,0.0061164,0.0021212,
,,0.0065586,0.00060022,
,,0.0070515,-0.00054869,
,,0.011465,-0.00055168,
,,0.026606,0.0029739,
,,0.043182,0.014907,
,,0.036306,0.035653,
,,0.012014,0.052086,
,,-0.0022944,0.046784,
,,-0.0099516,0.016756,
,,-0.012077,-0.026016,
,,-0.01164,-0.061855,
,,-0.025119,-0.075136,
,,-0.036359,-0.066489,
,,-0.026081,-0.045837,
,,0.003787,-0.019087,
,,0.034487,0.014015,
,,0.037027,0.050634,
,,0.026465,0.075328,
,,0.034845,0.073877,
,,0.038343,0.051427,
,,0.014345,0.020544,
,,-0.0090504,-0.013704,
,,-0.012234,-0.0453,
,,-0.011081,-0.061905,
,,-0.022194,-0.056889,
,,-0.033243,-0.038675,
,,-0.012769,-0.020359,
,,0.027237,-0.001333,
,,0.032169,0.025677,
,,0.0035444,0.049897,
,,-0.0098947,0.04924,
,,0.0015897,0.01977,
,,0.02063,-0.018407,
,,0.022575,-0.039229,
,,-0.0062264,-0.034078,
,,-0.014952,-0.018208,
,,0.027434,-0.002079,
,,0.037436,0.022787,
,,-0.021856,0.047063,
,,-0.040839,0.036915,
,,0.0244,-0.0072651,
,,0.060737,-0.037545,
,,0.0054223,-0.027013,
,,-0.053396,-0.0050452,
,,-0.032598,-0.0061085,
,,0.021036,-0.020535,
,,0.025865,-0.019423,
,,-0.012744,-0.0019903,
,,-0.04177,0.0071278,
,,-0.038204,-0.008222,
,,-0.017379,-0.038355,
,,-0.0040128,-0.059637,
,,-0.0014584,-0.056737,
,,0.00047576,-0.030867,
,,0.0075718,0.0054426,
,,0.017622,0.037948,
,,0.0083587,0.055597,
,,-0.010576,0.047037,
,,0.01455,0.011786,
,,0.048801,-0.021794,
,,0.02828,-0.025612,
,,0.015903,-0.0065016,
,,0.03306,0.020622,
,,0.011842,0.047315,
,,-0.0042254,0.053472,
,,0.01258,0.031569,
,,-0.0097242,-0.0021463,
,,-0.020998,-0.039282,
,,0.026048,-0.065112,
,,0.023391,-0.051714,
,,-0.011911,-0.0085437,
,,0.018389,0.030771,
,,0.032481,0.058521,
,,0.0052307,0.067698,
,,0.036754,0.047494,
,,0.061644,0.021035,
,,0.011154,0.0091167,
,,-0.0090905,-0.0021863,
,,0.0064463,-0.016858,
,,-0.014779,-0.024326,
,,-0.0035133,-0.0281,
,,0.056076,-0.020471,
,,0.051614,0.016663,
,,-0.0054811,0.062604,
,,-0.022799,0.07315,
,,-0.009837,0.037038,
,,-0.0047857,-0.021404,
,,-0.0015435,-0.070703,
,,0.0037119,-0.086842,
,,0.0085634,-0.06191,
,,0.017685,-0.0079328,
,,0.021691,0.051468,
,,0.01846,0.090085,
,,0.035285,0.090772,
,,0.05594,0.062739,
,,0.028008,0.028522,
,,-0.011846,-0.0067515,
,,-0.0079983,-0.04261,
,,-0.007255,-0.062877,
,,-0.016634,-0.059105,
,,0.017277,-0.036152,
,,0.035155,0.0068977,
,,-0.0032775,0.054856,
,,-0.0088297,0.071729,
,,0.01223,0.048868,
,,-0.01153,0.0056886,
,,-0.020109,-0.044457,
,,0.013608,-0.080367,
,,0.0039546,-0.074549,
,,-0.023287,-0.03576,
,,0.013245,0.0066589,
,,0.042923,0.046504,
,,-0.0068941,0.075927,
,,-0.056854,0.062087,
,,-0.037807,-0.0057883,
,,0.0067754,-0.085146,
,,0.024138,-0.11932,
,,0.0095167,-0.086744,
,,-0.018612,-0.013481,
,,-0.026597,0.050516,
,,-0.0032336,0.073367,
,,0.012029,0.056397,
,,0.0016581,0.015977,
,,-0.00090386,-0.030381,
,,0.007738,-0.061961,
,,-0.004762,-0.062607,
,,-0.025167,-0.039157,
,,-0.015054,-0.012026,
,,0.0077145,0.0099795,
,,0.010301,0.026143,
,,0.0086787,0.031236,
,,0.01773,0.023677,
,,0.021894,0.011197,
,,0.0057371,0.0011894,
,,-0.034286,-0.0097123,
,,-0.056471,-0.03328,
,,-0.0076528,-0.065417,
,,0.048422,-0.070453,
,,0.024216,-0.025865,
,,-0.012891,0.035838,
,,-0.0011667,0.070548,
,,-0.00085328,0.066554,
,,-0.017882,0.027993,
,,-0.014945,-0.03082,
,,-0.0072033,-0.080612,
,,0.015434,-0.094425,
,,0.033271,-0.057859,
,,-0.0084514,0.01356,
,,-0.017982,0.068517,
,,0.059525,0.08145,
,,0.058396,0.077125,
,,-0.031121,0.057098,
,,-0.021953,-0.000626,
,,0.035349,-0.064559,
,,0.010407,-0.084162,
,,-0.00020222,-0.060011,
,,0.030255,-0.0097624,
,,-0.0085799,0.049786,
,,-0.049086,0.075506,
,,-0.005062,0.04312,
,,0.015226,-0.013186,
,,-0.016106,-0.057383,
,,-0.0087499,-0.080012,
,,0.0025033,-0.070054,
,,-0.016509,-0.030757,
,,0.001685,0.011791,
,,0.026447,0.044672,
,,0.0073619,0.062308,
,,0.017757,0.052222,
,,0.043711,0.025195,
,,0.0098435,0.0032478,
,,-0.0052934,-0.015956,
,,0.025548,-0.029409,
,,0.0071119,-0.021438,
,,-0.01309,-0.0035858,
,,0.029445,0.0091444,
,,0.038639,0.026607,
,,-0.0021857,0.043677,
,,-0.0026647,0.037849,
,,0.020266,0.012133,
,,0.016746,-0.011914,
,,0.0098348,-0.023741,
,,0.018933,-0.021176,
,,0.031111,-0.0026504,
,,0.024247,0.026971,
,,0.00079364,0.050153,
,,-0.01288,0.046915,
,,-0.014986,0.014047,
,,-0.0012712,-0.031972,
,,0.023929,-0.062535,
,,0.010126,-0.055231,
,,-0.029238,-0.021844,
,,-0.032956,0.0049593,
,,-0.02787,0.010214,
,,-0.031202,-0.0054896,
,,-0.0088521,-0.033417,
,,0.0046694,-0.051048,
,,-0.0087868,-0.045506,
,,-0.00603,-0.02502,
,,0.0023602,0.000524,
,,0.0018806,0.022167,
,,0.0096008,0.031027,
,,0.010597,0.026722,
,,-0.0057243,0.011996,
,,-0.029829,-0.012837,
,,-0.040337,-0.045989,
,,-0.010508,-0.074971,
,,0.014642,-0.074434,
,,-0.012701,-0.037185,
,,-0.026575,0.0069669,
,,0.010278,0.032389,
,,0.031199,0.042773,
,,0.015728,0.043005,
,,0.001229,0.02814,
,,0.0069721,9.7489e-05,
,,0.038101,-0.02436,
,,0.062601,-0.021058,
,,0.040063,0.016102,
,,-5.3932e-05,0.058538,
,,-0.013892,0.06947,
,,-0.013123,0.038871,
,,-0.012176,-0.016397,
,,-0.0092878,-0.068317,
,,-0.013847,-0.09205,
,,-0.013526,-0.079552,
,,-0.00037466,-0.03841,
,,-0.0025828,0.014433,
,,0.00027506,0.053426,
,,0.031441,0.064247,
,,0.027419,0.055102,
,,-0.01411,0.029406,
,,-0.0084979,-0.015106,
,,0.026778,-0.054784,
,,0.031513,-0.057939,
,,0.035177,-0.021813,
,,0.048302,0.03634,
,,0.037201,0.092237,
,,0.021671,0.1154,
,,0.029965,0.090522,
,,0.047054,0.035963,
,,0.055963,-0.012573,
,,0.052686,-0.029081,
,,0.03968,-0.0096793,
,,0.016177,0.028323,
,,-0.018279,0.05502,
,,-0.031896,0.044235,
,,-0.0012895,-0.0016583,
,,0.03222,-0.046663,
,,0.035268,-0.055995,
,,0.015679,-0.025873,
,,-0.02218,0.018124,
,,-0.031638,0.039019,
,,0.016348,0.026068,
,,0.032227,0.0057764,
,,-0.010131,-0.0061837,
,,-0.015432,-0.020006,
,,0.0091738,-0.032054,
,,0.012455,-0.027992,
,,0.039697,-0.0067385,
,,0.070437,0.032488,
,,0.033791,0.081014,
,,-0.0079569,0.10102,
,,0.010421,0.068337,
,,0.03738,0.0082691,
,,0.033273,-0.038044,
,,0.014489,-0.051429,
,,0.0068275,-0.035632,
,,0.02312,-0.0026616,
,,0.046076,0.037792,
,,0.058296,0.076477,
,,0.052397,0.10061,
,,0.028828,0.096333,
,,0.02814,0.058416,
,,0.045944,0.0071924,
,,0.004414,-0.027786,
,,-0.049974,-0.049094,
,,-0.017302,-0.068062,
,,0.0072079,-0.064809,
,,-0.043251,-0.034345,
,,-0.039248,-0.010163,
,,0.022814,-0.00083612,
,,0.021953,0.013436,
,,0.0042031,0.027514,
,,0.038251,0.029945,
,,0.054005,0.032777,
,,0.026841,0.040829,
,,0.011905,0.040021,
,,0.024146,0.024938,
,,0.039963,0.0081742,
,,0.026254,0.0034317,
,,-0.0036006,0.0061943,
,,0.0063477,0.0034981,
,,0.027705,0.00037326,
,,0.0094386,0.0056709,
,,0.014489,0.010871,
,,0.069112,0.017371,
,,0.079609,0.042999,
,,0.040578,0.078969,
,,0.031563,0.093281,
,,0.027236,0.074898,
,,-0.0091414,0.031037,
,,-0.024778,-0.030163,
,,-0.018154,-0.086244,
,,-0.023914,-0.10953,
,,0.0015391,-0.091159,
,,0.057673,-0.030642,
,,0.061212,0.061996,
,,0.027596,0.14283,
,,0.029639,0.16063,
,,0.040988,0.10874,
,,0.022152,0.022329,
,,-0.0072983,-0.060728,
,,-0.031776,-0.11542,
,,-0.033533,-0.12757,
,,-0.0063714,-0.093366,
,,0.0048142,-0.022738,
,,-0.0045851,0.052296,
,,0.015484,0.094582,
,,0.037238,0.094645,
,,0.011801,0.062425,
,,-0.015561,0.0059639,
,,-0.015299,-0.057833,
,,-0.014916,-0.1,
,,-0.01559,-0.10133,
,,-0.027162,-0.064324,
,,-0.050094,-0.015327,
,,-0.024366,0.013678,
,,0.041956,0.022738,
,,0.06799,0.036052,
,,0.05397,0.059186,
,,0.016005,0.074911,
,,-0.050906,0.057928,
,,-0.055294,-0.0085612,
,,0.031774,-0.090229,
,,0.058197,-0.11404,
,,-0.0091203,-0.061614,
,,-0.016577,0.012578,
,,0.0568,0.069028,
,,0.090447,0.11159,
,,0.054363,0.13445,
,,0.00063828,0.11227,
,,-0.021355,0.036276,
,,0.013059,-0.061527,
,,0.056081,-0.11932,
,,0.047307,-0.095162,
,,0.010759,-0.0084619,
,,-0.0074381,0.079397,
,,-0.0062173,0.11852,
,,-0.0010255,0.093569,
,,-0.0032036,0.022033,
,,-0.0074047,-0.058816,
,,0.00052337,-0.1118,
,,0.013149,-0.11004,
,,0.024299,-0.051723,
,,0.027195,0.035586,
,,-0.00060807,0.10861,
,,-0.03034,0.12222,
,,-0.020242,0.061257,
,,-0.0010046,-0.036386,
,,0.012314,-0.11294,
,,0.02829,-0.12687,
,,0.014623,-0.068977,
,,0.0084699,0.022599,
,,0.061371,0.10109,
,,0.07291,0.1505,
,,0.0052058,0.15004,
,,-0.021838,0.076682,
,,-0.014864,-0.03969,
,,-0.030755,-0.13896,
,,-0.010434,-0.1782,
,,0.0089153,-0.13131,
,,-0.025815,-0.022229,
,,-0.016419,0.076805,
,,0.01564,0.12398,
,,-0.021326,0.11035,
,,-0.027731,0.033156,
,,0.019209,-0.066766,
,,0.0035724,-0.12468,
,,-0.016395,-0.12002,
,,0.018082,-0.064589,
,,0.013874,0.02196,
,,-0.0039202,0.095178,
,,0.030963,0.11694,
,,0.035696,0.091926,
,,-0.0088527,0.036362,
,,-0.00777,-0.036784,
,,0.03015,-0.092163,
,,0.026647,-0.090894,
,,-0.0049581,-0.037916,
,,-0.015299,0.025465,
,,-0.023286,0.063087,
,,-0.039249,0.055206,
,,-0.012126,0.0033679,
,,0.033833,-0.053622,
,,0.018755,-0.071457,
,,-0.0056256,-0.049233,
,,0.022324,-0.0081255,
,,0.025195,0.040612,
,,-0.0099257,0.074556,
,,-0.0049935,0.06626,
,,0.019161,0.02353,
,,0.033021,-0.021475,
,,0.062237,-0.03989,
,,0.053047,-0.014018,
,,-0.017235,0.035667,
,,-0.035328,0.057286,
,,0.012855,0.035132,
,,0.020145,-0.00030736,
,,0.0055582,-0.027415,
,,0.029946,-0.038117,
,,0.031143,-0.020247,
,,-0.0078207,0.015729,
,,-0.0093742,0.037546,
,,0.017142,0.035094,
,,0.025198,0.021211,
,,0.025789,0.0074677,
,,-0.0042655,-0.0005903,
,,-0.054396,-0.013527,
,,-0.034915,-0.044028,
,,0.0066493,-0.069697,
,,-0.030769,-0.064408,
,,-0.041079,-0.045125,
,,0.03126,-0.023674,
,,0.013383,0.01518,
,,-0.082746,0.044165,
,,-0.04506,0.015974,
,,0.068081,-0.037545,
,,0.063713,-0.046365,
,,0.0019802,-0.0086731,
,,-0.00098684,0.031474,
,,0.012791,0.052115,
,,0.009177,0.049816,
,,0.015456,0.026786,
,,0.023798,-0.0022364,
,,0.01373,-0.020708,
,,-0.00012095,-0.024882,
,,0.018039,-0.018584,
,,0.057145,0.0028185,
,,0.037579,0.042947,
,,-0.03377,0.072834,
,,-0.041277,0.051398,
,,0.0059962,-0.011612,
,,-0.0010054,-0.06712,
,,-0.029007,-0.09164,
,,0.0045714,-0.084412,
,,0.035035,-0.038083,
,,0.0026486,0.033677,
,,-0.014946,0.084126,
,,0.01637,0.08485,
,,0.018597,0.049441,
,,-0.023805,-0.0026106,
,,-0.044014,-0.062436,
,,-0.02753,-0.11033,
,,-0.0049182,-0.11723,
,,0.0044717,-0.072257,
,,-0.019639,0.0021478,
,,-0.050506,0.058143,
,,-0.023601,0.060171,
,,0.025111,0.021889,
,,0.0077505,-0.017967,
,,-0.027163,-0.046694,
,,-0.00027785,-0.064242,
,,0.0069361,-0.054155,
,,-0.051181,-0.022062,
,,-0.048661,-0.005573,
,,0.017002,-0.0096762,
,,0.011004,-0.0070058,
,,-0.018281,0.00013002,
,,0.018485,-0.0011176,
,,0.028271,0.0030254,
,,-0.00038763,0.014151,
,,0.035209,0.018384,
,,0.068595,0.027727,
,,0.024244,0.049269,
,,0.0034083,0.056374,
,,0.034413,0.038349,
,,0.033724,0.01571,
,,0.0064269,-0.0007102,
,,-0.011224,-0.014819,
,,-0.029992,-0.029167,
,,-0.038939,-0.045272,
,,-0.025491,-0.058976,
,,-0.011244,-0.058616,
,,-0.0092851,-0.039255,
,,-0.0087735,-0.0099758,
,,0.0083552,0.016068,
,,0.023691,0.034463,
,,-0.0069403,0.042189,
,,-0.047155,0.023528,
,,-0.030029,-0.026526,
,,0.0018229,-0.076597,
,,-0.0028448,-0.090882,
,,0.0022944,-0.064706,
,,0.033024,-0.010054,
,,0.049191,0.05758,
,,0.053706,0.11351,
,,0.031866,0.1328,
,,-0.028849,0.096457,
,,-0.029117,0.0026891,
,,0.05181,-0.097704,
,,0.068538,-0.12602,
,,0.0099678,-0.066072,
,,-0.0033381,0.025975,
,,0.0054427,0.095954,
,,-0.014762,0.1145,
,,-0.0074635,0.069131,
,,0.0053351,-0.011716,
,,-0.03326,-0.08371,
,,-0.051912,-0.12842,
,,-0.022864,-0.13218,
,,-0.023194,-0.085216,
,,-0.035776,-0.014489,
,,-0.0032317,0.040936,
,,0.021118,0.069509,
,,0.0030097,0.069248,
,,0.012636,0.036759,
,,0.064651,-0.0052697,
,,0.075181,-0.016375,
,,0.02503,0.010276,
,,-0.008516,0.040137,
,,-0.00533,0.044677,
,,-0.015724,0.022545,
,,-0.021935,-0.018268,
,,0.014867,-0.058577,
,,0.030961,-0.065495,
,,-0.015712,-0.032675,
,,-0.032944,0.0044471,
,,0.019356,0.02244,
,,0.030618,0.033631,
,,-0.02643,0.03699,
,,-0.037596,0.010282,
,,0.0046431,-0.036956,
,,0.013292,-0.065972,
,,0.00076689,-0.059708,
,,0.0072887,-0.02733,
,,0.016556,0.016391,
,,0.024461,0.054632,
,,0.017998,0.07326,
,,-0.020041,0.060784,
,,-0.04182,0.0095687,
,,-0.017307,-0.062451,
,,0.018986,-0.1103,
,,0.040686,-0.096665,
,,0.023692,-0.022844,
,,-0.023383,0.063624,
,,-0.030628,0.10255,
,,0.0094111,0.076176,
,,0.029629,0.016492,
,,0.014652,-0.03703,
,,-0.00082058,-0.065587,
,,0.0086738,-0.063696,
,,0.033814,-0.02985,
,,0.029641,0.027419,
,,0.0046718,0.078172,
,,0.015321,0.090304,
,,0.02605,0.063931,
,,-0.0080626,0.016641,
,,-0.011362,-0.040068,
,,0.041267,-0.079461,
,,0.053128,-0.06433,
,,0.0097588,-0.00033006,
,,-0.011961,0.062364,
,,-0.0072626,0.084826,
,,-0.00469,0.060078,
,,0.009679,0.0046659,
,,0.025773,-0.046993,
,,0.013842,-0.065345,
,,-0.010333,-0.04883,
,,-0.013755,-0.017118,
,,0.0016374,0.01218,
,,0.0052028,0.031593,
,,-0.0099947,0.034162,
,,-0.012146,0.014194,
,,-0.0010426,-0.018524,
,,-0.012273,-0.044648,
,,-0.02536,-0.056816,
,,-0.0096481,-0.054739,
,,-0.0058682,-0.034941,
,,-0.01371,-0.0062458,
,,0.015024,0.016255,
,,0.033668,0.0339,
,,0.0029074,0.045534,
,,-0.013392,0.034816,
,,-0.0073329,0.00097422,
,,-0.013316,-0.037703,
,,0.0037931,-0.064034,
,,0.026338,-0.059207,
,,-0.0022306,-0.019835,
,,-0.026664,0.022558,
,,-0.011584,0.03857,
,,-0.011177,0.027125,
,,-0.020853,-0.0043129,
,,-0.02014,-0.043353,
,,-0.017696,-0.071718,
,,0.020438,-0.07388,
,,0.069319,-0.033504,
,,0.048927,0.046235,
,,0.0066656,0.11777,
,,0.0079886,0.13085,
,,0.0012031,0.080358,
,,-0.016099,-0.0078037,
,,0.0024723,-0.094095,
,,0.014814,-0.13154,
,,-0.00034981,-0.099814,
,,0.0017381,-0.023624,
,,0.013403,0.056849,
,,0.015606,0.10834,
,,0.025427,0.11036,
,,0.017873,0.067968,
,,-0.027762,0.00033204,
,,-0.053072,-0.077293,
,,-0.023199,-0.13758,
,,0.020824,-0.13925,
,,0.041617,-0.065573,
,,0.034663,0.050341,
,,0.023304,0.14682,
,,0.032192,0.17431,
,,0.034096,0.12426,
,,0.0035707,0.027499,
,,-0.0076931,-0.07496,
,,0.033413,-0.13839,
,,0.064929,-0.11785,
,,0.051564,-0.015139,
,,0.031483,0.10848,
,,0.0053201,0.18224,
,,-0.033866,0.15873,
,,-0.027775,0.03925,
,,0.016596,-0.10399,
,,0.011284,-0.18262,
,,-0.014973,-0.16272,
,,0.0094251,-0.067201,
,,0.021207,0.055376,
,,-0.010086,0.14737,
,,-0.013043,0.1561,
,,-0.0020628,0.078278,
,,-0.017148,-0.03693,
,,-0.015771,-0.13529,
,,0.0054267,-0.16997,
,,0.016163,-0.11715,
,,0.027839,-0.0042801,
,,0.021573,0.11167,
,,-0.015661,0.17159,
,,-0.029877,0.13349,
,,-0.012259,0.015957,
,,-0.002205,-0.1088,
,,0.0091678,-0.17507,
,,0.036,-0.14674,
,,0.050965,-0.031598,
,,0.02725,0.1096,
,,-0.014081,0.19583,
,,-0.018037,0.16976,
,,0.0055374,0.047733,
,,-0.009595,-0.090118,
,,-0.036232,-0.18087,
,,-0.0091906,-0.19122,
,,0.015276,-0.10708,
,,-0.012701,0.02725,
,,-0.024104,0.13029,
,,0.0035825,0.1522,
,,0.012936,0.095977,
,,0.0067133,-0.00059229,
,,0.017527,-0.088005,
,,0.032879,-0.12228,
,,0.047982,-0.082798,
,,0.05732,0.013624,
,,0.02671,0.1187,
,,-0.015497,0.16832,
,,-0.01221,0.12337,
,,-0.00067296,0.012233,
,,-0.013419,-0.10025,
,,-0.0049596,-0.16414,
,,0.019377,-0.14634,
,,0.022823,-0.05029,
,,0.028788,0.071274,
,,0.027786,0.16026,
,,-0.0067743,0.17307,
,,-0.020869,0.092259,
,,-0.014835,-0.03964,
,,-0.046247,-0.15312,
,,-0.047734,-0.20528,
,,0.015412,-0.16755,
,,0.01714,-0.042394,
,,-0.041154,0.096605,
,,-0.023292,0.16089,
,,0.032623,0.13116,
,,0.030006,0.048135,
,,0.015687,-0.040682,
,,0.0088517,-0.098842,
,,-0.018322,-0.10638,
,,-0.0090946,-0.071771,
,,0.041051,-0.010336,
,,0.045918,0.066078,
,,0.016351,0.12345,
,,0.010497,0.1241,
,,0.0026175,0.066848,
,,-0.017483,-0.020233,
,,-0.016447,-0.10108,
,,-0.0023825,-0.13786,
,,0.019723,-0.10819,
,,0.052023,-0.020424,
,,0.048583,0.090671,
,,0.00358,0.1683,
,,-0.013784,0.15765,
,,0.013651,0.061176,
,,0.031296,-0.054731,
,,0.009277,-0.12566,
,,-0.02929,-0.13094,
,,-0.034647,-0.08631,
,,0.00063722,-0.019957,
,,0.014539,0.047764,
,,-0.0069235,0.091468,
,,-0.0053556,0.084673,
,,0.023339,0.034695,
,,0.037984,-0.020368,
,,0.028887,-0.048049,
,,-0.001766,-0.04186,
,,-0.028429,-0.020031,
,,-0.0091951,-0.0040344,
,,0.01701,0.0064721,
,,-0.0086618,0.016375,
,,-0.027545,0.011786,
,,0.0078431,-0.010612,
,,0.019534,-0.026535,
,,-0.012592,-0.024778,
,,-0.0086059,-0.01849,
,,0.015053,-0.009666,
,,0.0050218,0.0058648,
,,0.012323,0.018332,
,,0.030371,0.025442,
,,-0.0075291,0.029261,
,,-0.021885,0.014326,
,,0.031825,-0.01549,
,,0.019127,-0.026983,
,,-0.045504,-0.021579,
,,-0.0070974,-0.025446,
,,0.050101,-0.022033,
,,-0.009298,0.0066437,
,,-0.050601,0.024277,
,,0.010819,0.0084494,
,,0.040677,-0.0092044,
,,0.017346,-0.0075101,
,,0.012179,0.0041637,
,,-0.0089531,0.015457,
,,-0.025549,0.012231,
,,0.020383,-0.007781,
,,0.039316,-0.017105,
,,-0.010165,-0.0054599,
,,-0.030476,0.0020535,
,,-0.016183,-0.0070145,
,,-0.01264,-0.022994,
,,0.0028123,-0.035095,
,,0.01371,-0.03152,
,,-0.0063177,-0.011294,
,,-0.012095,0.0079222,
,,0.0052585,0.015272,
,,-0.0053808,0.013858,
,,-0.033555,0.00023306,
,,-0.018968,-0.028763,
,,0.023783,-0.052489,
,,0.022583,-0.043721,
,,-0.014884,-0.0089894,
,,-0.016963,0.019579,
,,0.014165,0.028416,
,,0.03098,0.026996,
,,0.032405,0.024396,
,,0.023019,0.022929,
,,0.0082802,0.018746,
,,0.019784,0.0087098,
,,0.046839,0.0027487,
,,0.043826,0.013763,
,,0.019674,0.034616,
,,0.01384,0.045551,
,,0.023811,0.039377,
,,0.019763,0.023355,
,,-0.0067033,0.0032702,
,,-0.02804,-0.022526,
,,-0.015124,-0.050326,
,,0.0067439,-0.062124,
,,-0.005816,-0.045201,
,,-0.021173,-0.013806,
,,0.0061381,0.011508,
,,0.026673,0.029999,
,,0.0015653,0.041254,
,,-0.014533,0.031353,
,,-0.014481,-0.00083473,
,,-0.032372,-0.04077,
,,-0.022691,-0.075515,
,,0.018489,-0.084,
,,0.024569,-0.04791,
,,0.023502,0.016669,
,,0.04573,0.078563,
,,0.026262,0.11613,
,,-0.013902,0.10421,
,,0.0063362,0.03682,
,,0.028972,-0.042609,
,,-0.0091679,-0.088582,
,,-0.029725,-0.096103,
,,0.0017078,-0.071357,
,,0.0072245,-0.017557,
,,-0.022241,0.039805,
,,-0.020813,0.06344,
,,0.0061141,0.045055,
,,0.010895,0.0062592,
,,-0.0032592,-0.031157,
,,-0.011827,-0.055591,
,,0.0052671,-0.059731,
,,0.046393,-0.034729,
,,0.055109,0.022413,
,,0.0050157,0.085505,
,,-0.03687,0.10427,
,,-0.023102,0.05508,
,,0.011897,-0.029223,
,,0.031565,-0.091427,
,,0.02631,-0.095505,
,,-0.00099109,-0.045357,
,,-0.015527,0.020294,
,,0.0058118,0.063728,
,,0.022688,0.074892,
,,0.0046192,0.056669,
,,-0.0089711,0.013063,
,,0.0065938,-0.038886,
,,0.0076711,-0.069454,
,,-0.019494,-0.066072,
,,-0.019978,-0.042487,
,,0.022595,-0.010532,
,,0.049606,0.031418,
,,0.021119,0.074067,
,,-0.025402,0.085651,
,,-0.031299,0.043613,
,,0.0066828,-0.031085,
,,0.037792,-0.085763,
,,0.023374,-0.083594,
,,-0.0037455,-0.034445,
,,0.010817,0.025135,
,,0.03311,0.071768,
,,0.0036002,0.092328,
,,-0.0248,0.067145,
,,0.003793,0.0006653,
,,0.025789,-0.062631,
,,0.017917,-0.084484,
,,0.030932,-0.058323,
,,0.028263,0.0047286,
,,-0.010128,0.069923,
,,0.0042789,0.093253,
,,0.058835,0.072753,
,,0.047991,0.041258,
,,0.0040003,0.010987,
,,0.013252,-0.020634,
,,0.034972,-0.036487,
,,0.016177,-0.022708,
,,-0.00067477,0.0056575,
,,0.0023157,0.027708,
,,-0.020379,0.032911,
,,-0.044445,0.010422,
,,-0.0060816,-0.035634,
,,0.032189,-0.067159,
,,-0.0060111,-0.056381,
,,-0.028493,-0.024784,
,,0.030678,0.0042245,
,,0.052812,0.039489,
,,-0.0059266,0.072365,
,,-0.013678,0.066384,
,,0.033082,0.023556,
,,0.0069402,-0.017965,
,,-0.038006,-0.04875,
,,-0.0016849,-0.071219,
,,0.016186,-0.063021,
,,-0.021618,-0.023705,
,,0.01134,0.014673,
,,0.082513,0.048455,
,,0.057742,0.08889,
,,-0.001146,0.1073,
,,0.0092466,0.073598,
,,0.023404,0.0093668,
,,-0.019032,-0.049046,
,,-0.038916,-0.091196,
,,0.022058,-0.10433,
,,0.073548,-0.059085,
,,0.02839,0.038357,
,,-0.038234,0.12034,
,,-0.032092,0.12239,
,,0.0051607,0.049115,
,,0.022937,-0.043756,
,,0.048863,-0.10079,
,,0.067222,-0.086636,
,,0.034641,-0.0057566,
,,0.00075991,0.085605,
